                             ]	    14	                TK_SQR	 ------	       optionalReturn	 yes	                 ----


                             ;	    14	                TK_SEM	 ------	           returnStmt	 yes	                 ----


                           end	    15	                TK_END	 ------	             function	 yes	                 ----


                          ----	 -----	                ------	 -----	              program	  no	       otherFunctions


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	       otherFunctions	  no	       otherFunctions


                        ------	 -----	                 -----	 ------	                 ROOT	  no	                 ----


                         _main	    17	               TK_MAIN	 ------	         mainFunction	 yes	                 ----


                          ----	 -----	                ------	 -----	              program	  no	         mainFunction


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                stmts	  no	      typeDefinitions


                          ----	 -----	                ------	 -----	         mainFunction	  no	                stmts


                          type	    18	               TK_TYPE	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         declarations	  no	          declaration


                           int	    18	                TK_INT	 ------	    primitiveDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	    primitiveDatatype


                          ----	 -----	                ------	 -----	          declaration	  no	             dataType


                             :	    18	              TK_COLON	 ------	          declaration	 yes	                 ----


                            b3	    18	                 TK_ID	 ------	          declaration	 yes	                 ----


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	          declaration	  no	        global_or_not


                             ;	    18	                TK_SEM	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	                stmts	  no	         declarations


                          type	    19	               TK_TYPE	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         declarations	  no	          declaration


                          real	    19	               TK_REAL	 ------	    primitiveDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	    primitiveDatatype


                          ----	 -----	                ------	 -----	          declaration	  no	             dataType


                             :	    19	              TK_COLON	 ------	          declaration	 yes	                 ----


                        c4bd56	    19	                 TK_ID	 ------	          declaration	 yes	                 ----


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	          declaration	  no	        global_or_not


                             ;	    19	                TK_SEM	 ------	          declaration	 yes	                 ----


