                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                             [	    45	                TK_SQL	 ------	     outputParameters	 yes	                 ----


                          ----	 -----	                ------	 -----	          funCallStmt	  no	     outputParameters


                           d5d	    45	                 TK_ID	 ------	               idList	 yes	                 ----


                          ----	 -----	                ------	 -----	     outputParameters	  no	               idList


                             ,	    45	              TK_COMMA	 ------	             more_ids	 yes	                 ----


                          ----	 -----	                ------	 -----	               idList	  no	             more_ids


                            d2	    45	                 TK_ID	 ------	               idList	 yes	                 ----


                          ----	 -----	                ------	 -----	             more_ids	  no	               idList


                             ]	    45	                TK_SQR	 ------	             more_ids	 yes	                 ----


                          ----	 -----	                ------	 -----	               idList	  no	             more_ids


                             ]	    45	                TK_SQR	 ------	     outputParameters	 yes	                 ----


                          <---	    45	           TK_ASSIGNOP	 ------	     outputParameters	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	          funCallStmt


                          call	    45	               TK_CALL	 ------	          funCallStmt	 yes	                 ----


                      _swpints	    45	              TK_FUNID	 ------	          funCallStmt	 yes	                 ----


                          with	    45	               TK_WITH	 ------	          funCallStmt	 yes	                 ----


                    parameters	    45	         TK_PARAMETERS	 ------	          funCallStmt	 yes	                 ----


                             [	    45	                TK_SQL	 ------	      inputParameters	 yes	                 ----


                          ----	 -----	                ------	 -----	          funCallStmt	  no	      inputParameters


                          d3c2	    45	                 TK_ID	 ------	               idList	 yes	                 ----


                          ----	 -----	                ------	 -----	      inputParameters	  no	               idList


                             ,	    45	              TK_COMMA	 ------	             more_ids	 yes	                 ----


                          ----	 -----	                ------	 -----	               idList	  no	             more_ids


                          d3c3	    45	                 TK_ID	 ------	               idList	 yes	                 ----


                          ----	 -----	                ------	 -----	             more_ids	  no	               idList


                             ]	    45	                TK_SQR	 ------	             more_ids	 yes	                 ----


                          ----	 -----	                ------	 -----	               idList	  no	             more_ids


                             ]	    45	                TK_SQR	 ------	      inputParameters	 yes	                 ----


                             ;	    45	                TK_SEM	 ------	          funCallStmt	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                           d5d	    47	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


                          ----	 -----	                ------	 -----	       assignmentStmt	  no	        singleOrRecId


                             .	    47	                TK_DOT	 ------	               new_24	 yes	                 ----


                          ----	 -----	                ------	 -----	        singleOrRecId	  no	               new_24


                           len	    47	            TK_FIELDID	 ------	               new_24	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	       assignmentStmt


                          <---	    47	           TK_ASSIGNOP	 ------	       assignmentStmt	 yes	                 ----


                          d3c4	    47	                 TK_ID	 ------	                  all	 yes	                 ----


                          ----	 -----	                ------	 -----	               factor	  no	                  all


                             ;	    47	                TK_SEM	 ------	                all_t	 yes	                 ----


                          ----	 -----	                ------	 -----	                  all	  no	                all_t


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


                             ;	    47	                TK_SEM	 ------	            termPrime	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	            termPrime


                          ----	 -----	                ------	 -----	       assignmentStmt	  no	 arithmeticExpression


                             ;	    47	                TK_SEM	 ------	             expPrime	 yes	                 ----


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	             expPrime


                             ;	    47	                TK_SEM	 ------	       assignmentStmt	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                            d2	    49	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


                          ----	 -----	                ------	 -----	       assignmentStmt	  no	        singleOrRecId


                             .	    49	                TK_DOT	 ------	               new_24	 yes	                 ----


                          ----	 -----	                ------	 -----	        singleOrRecId	  no	               new_24


