                          ----	 -----	                ------	 -----	               factor	  no	                 term


                          ----	 -----	                ------	 -----	            termPrime	  no	               factor


                             -	    12	              TK_MINUS	 ------	 lowPrecedenceOperators	 yes	                 ----


                          ----	 -----	                ------	 -----	             expPrime	  no	 lowPrecedenceOperators


                          ----	 -----	                ------	 -----	               factor	  no	             expPrime


                           234	    12	                TK_NUM	    234	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	             expPrime	  no	                 term


                             *	    12	                TK_MUL	 ------	 highPrecedenceOperator	 yes	                 ----


                          ----	 -----	                ------	 -----	            termPrime	  no	 highPrecedenceOperator


                          ----	 -----	                ------	 -----	                 term	  no	            termPrime


                             8	    12	                TK_NUM	      8	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	            termPrime	  no	               factor


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


                          ----	 -----	                ------	 -----	                 stmt	  no	 arithmeticExpression


                             +	    12	               TK_PLUS	 ------	 lowPrecedenceOperators	 yes	                 ----


                          ----	 -----	                ------	 -----	             expPrime	  no	 lowPrecedenceOperators


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	             expPrime


                             5	    12	                TK_NUM	      5	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	             expPrime	  no	                 term


                             *	    12	                TK_MUL	 ------	 highPrecedenceOperator	 yes	                 ----


                          ----	 -----	                ------	 -----	            termPrime	  no	 highPrecedenceOperator


                          ----	 -----	                ------	 -----	                 term	  no	            termPrime


                            c3	    12	                 TK_ID	 ------	               factor	 yes	                 ----


                          ----	 -----	                ------	 -----	            termPrime	  no	               factor


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                         c4bbb	    13	                 TK_ID	 ------	                  var	 yes	                 ----


                          ----	 -----	                ------	 -----	    booleanExpression	  no	                  var


                          ----	 -----	                ------	 -----	    booleanExpression	  no	    booleanExpression


                            ==	    13	                 TK_EQ	 ------	         relationalOp	 yes	                 ----


                          ----	 -----	                ------	 -----	    booleanExpression	  no	         relationalOp


                             0	    13	                TK_NUM	      0	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	    booleanExpression	  no	                  var


                          ----	 -----	                ------	 -----	                 stmt	  no	    booleanExpression


                           &&&	    13	                TK_AND	 ------	            logicalOp	 yes	                 ----


                          ----	 -----	                ------	 -----	    booleanExpression	  no	            logicalOp


                         c4bbb	    13	                 TK_ID	 ------	                  var	 yes	                 ----


                          ----	 -----	                ------	 -----	    booleanExpression	  no	                  var


                          ----	 -----	                ------	 -----	    booleanExpression	  no	    booleanExpression


                             >	    13	                 TK_GT	 ------	         relationalOp	 yes	                 ----


                          ----	 -----	                ------	 -----	    booleanExpression	  no	         relationalOp


                         78.56	    13	               TK_RNUM	   78.56	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	    booleanExpression	  no	                  var


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                            c6	    15	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	        singleOrRecId


                          ----	 -----	                ------	 -----	                 stmt	  no	                 stmt


                    d4cbcd5677	    15	                 TK_ID	 ------	               factor	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


                             /	    15	                TK_DIV	 ------	 highPrecedenceOperator	 yes	                 ----


                          ----	 -----	                ------	 -----	            termPrime	  no	 highPrecedenceOperator


                          ----	 -----	                ------	 -----	                 term	  no	            termPrime


                         c4bbb	    15	                 TK_ID	 ------	               factor	 yes	                 ----


                          ----	 -----	                ------	 -----	            termPrime	  no	               factor


                          ----	 -----	                ------	 -----	                 stmt	  no	 arithmeticExpression


                         c4bbb	    17	                 TK_ID	 ------	                 stmt	 yes	                 ----


                          ----	 -----	                ------	 -----	             elsePart	  no	                 stmt


                          ----	 -----	                ------	 -----	                 stmt	  no	             elsePart


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                            c6	    20	                 TK_ID	 ------	           returnStmt	 yes	                 ----


                          ----	 -----	                ------	 -----	                stmts	  no	           returnStmt


                          ----	 -----	                ------	 -----	              program	  no	       otherFunctions


                        ------	 -----	                 -----	 ------	                 ROOT	  no	                 ----


                          ----	 -----	                ------	 -----	              program	  no	         mainFunction


                           int	    26	                TK_INT	 ------	             dataType	 yes	                 ----


                          ----	 -----	                ------	 -----	          declaration	  no	             dataType


                          ----	 -----	                ------	 -----	         declarations	  no	          declaration


                            b5	    26	                 TK_ID	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         mainFunction	  no	         declarations


